delivery_key,delivery_id,order_key,order_id,promised_delivery_date,actual_delivery_date,transport_cost,delivery_status,order_date,quantity,order_value,order_status,warehouse_key,warehouse_id,warehouse_name,warehouse_country,warehouse_capacity,carrier_key,carrier_id,carrier_name,carrier_service_level,dq_flag_missing_transport_cost,dq_flag_invalid_delivery_date,delivery_variance_days
15361,D0015361,15361,O0015361,2025-07-06,2025-07-14,43.83,Delivered,2025-07-02,36,608.04,Delivered,8,W08,Warehouse 08,Italy,18100,9,T09,Carrier 09,Premium,false,false,8
15362,D0015362,15362,O0015362,2025-07-29,2025-07-31,35.24,Delivered,2025-07-25,7,125.51,Delivered,4,W04,Warehouse 04,France,17137,6,T06,Carrier 06,Standard,false,false,2
15363,D0015363,15363,O0015363,2025-04-11,2025-04-14,80.86,Delivered,2025-04-03,23,703.34,Delivered,8,W08,Warehouse 08,Italy,18100,3,T03,Carrier 03,Standard,false,false,3
15364,D0015364,15364,O0015364,2025-03-12,2025-03-09,28.95,Delivered,2025-03-03,14,133.28,Delivered,11,W11,Warehouse 11,Germany,5748,4,T04,Carrier 04,Express,false,false,-3
15365,D0015365,15365,O0015365,2025-07-16,2025-07-16,33.64,Delivered,2025-07-11,9,182.88,Delivered,6,W06,Warehouse 06,Italy,23070,13,T13,Carrier 13,Standard,false,false,0
15366,D0015366,15366,O0015366,2025-12-13,2025-12-15,148.25,In Transit,2025-12-10,18,1950.66,In Transit,9,W09,Warehouse 09,Spain,10336,13,T13,Carrier 13,Standard,false,false,2
15367,D0015367,15367,O0015367,2025-06-27,2025-06-20,31.04,In Transit,2025-06-18,7,57.89,In Transit,8,W08,Warehouse 08,Italy,18100,12,T12,Carrier 12,Premium,false,false,-7
15368,D0015368,15368,O0015368,2025-11-29,2025-12-02,43.3,Delivered,2025-11-26,35,330.75,Delivered,2,W02,Warehouse 02,Spain,27715,9,T09,Carrier 09,Premium,false,false,3
15369,D0015369,15369,O0015369,2025-11-17,2025-11-17,61.98,Delivered,2025-11-07,32,839.68,Delivered,5,W05,Warehouse 05,Spain,25643,12,T12,Carrier 12,Premium,false,false,0
15370,D0015370,15370,O0015370,2025-10-04,2025-10-03,69.85,Delivered,2025-09-29,25,918.25,Delivered,5,W05,Warehouse 05,Spain,25643,9,T09,Carrier 09,Premium,false,false,-1
15371,D0015371,15371,O0015371,2025-11-26,2025-12-01,79.95,Delivered,2025-11-23,50,554.5,Delivered,7,W07,Warehouse 07,Netherlands,10019,1,T01,Carrier 01,Premium,false,false,5
15372,D0015372,15372,O0015372,2025-06-03,2025-06-14,51.84,Delivered,2025-05-31,8,328.16,Delivered,11,W11,Warehouse 11,Germany,5748,7,T07,Carrier 07,Standard,false,false,11
15373,D0015373,15373,O0015373,2025-10-09,2025-10-15,163.21,Delivered,2025-10-05,40,1590.8,Delivered,3,W03,Warehouse 03,Brazil,15843,13,T13,Carrier 13,Standard,false,false,6
15374,D0015374,15374,O0015374,2025-03-01,2025-02-25,470.87,Delivered,2025-02-22,38,4600.28,Delivered,1,W01,Warehouse 01,Germany,20207,6,T06,Carrier 06,Standard,false,false,-4
15375,D0015375,15375,O0015375,2025-05-04,2025-05-08,43.42,Delivered,2025-04-27,48,263.52,Delivered,5,W05,Warehouse 05,Spain,25643,4,T04,Carrier 04,Express,false,false,4
15376,D0015376,15376,O0015376,2025-08-02,2025-08-04,38.05,Delivered,2025-07-26,4,123.96,Delivered,6,W06,Warehouse 06,Italy,23070,15,T15,Carrier 15,Express,false,false,2
15377,D0015377,15377,O0015377,2025-01-22,2025-01-16,84.53,Cancelled,2025-01-14,27,622.89,Cancelled,7,W07,Warehouse 07,Netherlands,10019,9,T09,Carrier 09,Premium,false,false,-6
15378,D0015378,15378,O0015378,2025-10-10,2025-10-12,49.73,Cancelled,2025-10-07,21,460.74,Cancelled,4,W04,Warehouse 04,France,17137,9,T09,Carrier 09,Premium,false,false,2
15379,D0015379,15379,O0015379,2025-12-11,2025-12-12,70.43,Delivered,2025-12-04,22,376.2,Delivered,5,W05,Warehouse 05,Spain,25643,5,T05,Carrier 05,Express,false,false,1
15380,D0015380,15380,O0015380,2025-02-15,2025-02-19,21.83,Delivered,2025-02-08,4,29.32,Delivered,5,W05,Warehouse 05,Spain,25643,12,T12,Carrier 12,Premium,false,false,4
15381,D0015381,15381,O0015381,2026-01-06,2026-01-13,40.56,Delivered,2025-12-29,19,454.1,Delivered,7,W07,Warehouse 07,Netherlands,10019,15,T15,Carrier 15,Express,false,false,7
15382,D0015382,15382,O0015382,2025-02-10,2025-02-13,60.16,Delivered,2025-02-02,50,594.0,Delivered,4,W04,Warehouse 04,France,17137,12,T12,Carrier 12,Premium,false,false,3
15383,D0015383,15383,O0015383,2025-02-24,2025-02-19,32.21,Delivered,2025-02-16,4,59.44,Delivered,2,W02,Warehouse 02,Spain,27715,14,T14,Carrier 14,Premium,false,false,-5
15384,D0015384,15384,O0015384,2025-10-14,2025-10-10,166.69,Delivered,2025-10-06,50,2072.5,Delivered,9,W09,Warehouse 09,Spain,10336,14,T14,Carrier 14,Premium,false,false,-4
15385,D0015385,15385,O0015385,2025-09-11,2025-09-21,69.86,Delivered,2025-09-08,15,978.15,Delivered,7,W07,Warehouse 07,Netherlands,10019,1,T01,Carrier 01,Premium,false,false,10
15386,D0015386,15386,O0015386,2025-12-18,2025-12-19,95.69,Delivered,2025-12-08,37,2156.36,Delivered,3,W03,Warehouse 03,Brazil,15843,11,T11,Carrier 11,Standard,false,false,1
15387,D0015387,15387,O0015387,2025-06-10,2025-06-17,116.84,Delivered,2025-06-05,42,2109.24,Delivered,6,W06,Warehouse 06,Italy,23070,9,T09,Carrier 09,Premium,false,false,7
15388,D0015388,15388,O0015388,2025-08-05,2025-08-09,40.66,Delivered,2025-07-28,6,189.12,Delivered,12,W12,Warehouse 12,Netherlands,25674,11,T11,Carrier 11,Standard,false,false,4
15389,D0015389,15389,O0015389,2025-03-05,2025-02-26,79.71,Delivered,2025-02-24,22,388.96,Delivered,6,W06,Warehouse 06,Italy,23070,10,T10,Carrier 10,Express,false,false,-7
15390,D0015390,15390,O0015390,2025-09-16,2025-09-16,71.91,In Transit,2025-09-10,50,558.5,In Transit,11,W11,Warehouse 11,Germany,5748,14,T14,Carrier 14,Premium,false,false,0
15391,D0015391,15391,O0015391,2026-01-10,2026-01-10,49.52,Delivered,2025-12-31,11,205.04,Delivered,7,W07,Warehouse 07,Netherlands,10019,5,T05,Carrier 05,Express,false,false,0
15392,D0015392,15392,O0015392,2025-08-11,2025-08-21,89.41,Cancelled,2025-08-06,42,1053.36,Cancelled,2,W02,Warehouse 02,Spain,27715,14,T14,Carrier 14,Premium,false,false,10
15393,D0015393,15393,O0015393,2025-12-13,2025-12-17,31.52,In Transit,2025-12-07,22,219.12,In Transit,10,W10,Warehouse 10,Germany,24023,6,T06,Carrier 06,Standard,false,false,4
15394,D0015394,15394,O0015394,2025-05-30,2025-06-06,28.61,In Transit,2025-05-24,8,94.72,In Transit,1,W01,Warehouse 01,Germany,20207,5,T05,Carrier 05,Express,false,false,7
15395,D0015395,15395,O0015395,2026-01-02,2026-01-08,108.5,Delivered,2025-12-25,28,987.84,Delivered,12,W12,Warehouse 12,Netherlands,25674,10,T10,Carrier 10,Express,false,false,6
15396,D0015396,15396,O0015396,2025-07-20,2025-07-17,64.1,In Transit,2025-07-15,32,349.44,In Transit,11,W11,Warehouse 11,Germany,5748,6,T06,Carrier 06,Standard,false,false,-3
15397,D0015397,15397,O0015397,2025-03-03,2025-03-06,100.44,Delivered,2025-02-22,39,1234.74,Delivered,5,W05,Warehouse 05,Spain,25643,12,T12,Carrier 12,Premium,false,false,3
15398,D0015398,15398,O0015398,2025-05-23,2025-05-24,41.38,In Transit,2025-05-13,35,240.1,In Transit,7,W07,Warehouse 07,Netherlands,10019,8,T08,Carrier 08,Standard,false,false,1
15399,D0015399,15399,O0015399,2025-07-09,2025-07-06,19.28,Delivered,2025-06-29,5,49.8,Delivered,12,W12,Warehouse 12,Netherlands,25674,6,T06,Carrier 06,Standard,false,false,-3
15400,D0015400,15400,O0015400,2025-01-29,2025-02-06,105.17,Delivered,2025-01-25,25,653.5,Delivered,5,W05,Warehouse 05,Spain,25643,9,T09,Carrier 09,Premium,false,false,8
15401,D0015401,15401,O0015401,2025-11-29,2025-12-08,62.49,Delivered,2025-11-23,15,352.95,Delivered,12,W12,Warehouse 12,Netherlands,25674,10,T10,Carrier 10,Express,false,false,9
15402,D0015402,15402,O0015402,2025-04-05,2025-04-11,50.19,Delivered,2025-03-29,41,225.09,Delivered,10,W10,Warehouse 10,Germany,24023,13,T13,Carrier 13,Standard,false,false,6
15403,D0015403,15403,O0015403,2025-09-14,2025-09-07,45.89,In Transit,2025-09-04,16,220.48,In Transit,1,W01,Warehouse 01,Germany,20207,8,T08,Carrier 08,Standard,false,false,-7
15404,D0015404,15404,O0015404,2025-12-12,2025-12-04,108.89,Cancelled,2025-12-02,22,938.52,Cancelled,10,W10,Warehouse 10,Germany,24023,6,T06,Carrier 06,Standard,false,false,-8
15405,D0015405,15405,O0015405,2025-06-15,2025-06-21,57.0,Delivered,2025-06-08,20,829.0,Delivered,10,W10,Warehouse 10,Germany,24023,8,T08,Carrier 08,Standard,false,false,6
15406,D0015406,15406,O0015406,2025-08-16,2025-08-24,32.2,Delivered,2025-08-11,37,384.8,Delivered,8,W08,Warehouse 08,Italy,18100,9,T09,Carrier 09,Premium,false,false,8
15407,D0015407,15407,O0015407,2025-07-13,2025-07-21,27.35,In Transit,2025-07-08,9,176.67,In Transit,5,W05,Warehouse 05,Spain,25643,2,T02,Carrier 02,Premium,false,false,8
15408,D0015408,15408,O0015408,2025-10-14,2025-10-15,48.93,Delivered,2025-10-06,35,570.15,Delivered,9,W09,Warehouse 09,Spain,10336,3,T03,Carrier 03,Standard,false,false,1
15409,D0015409,15409,O0015409,2025-01-23,2025-01-28,40.27,Delivered,2025-01-15,12,166.2,Delivered,6,W06,Warehouse 06,Italy,23070,10,T10,Carrier 10,Express,false,false,5
15410,D0015410,15410,O0015410,2025-05-21,2025-05-25,52.0,Delivered,2025-05-12,36,1189.8,Delivered,8,W08,Warehouse 08,Italy,18100,10,T10,Carrier 10,Express,false,false,4
15411,D0015411,15411,O0015411,2025-08-15,2025-08-15,25.79,Delivered,2025-08-12,3,52.8,Delivered,3,W03,Warehouse 03,Brazil,15843,6,T06,Carrier 06,Standard,false,false,0
15412,D0015412,15412,O0015412,2025-02-08,2025-02-16,152.19,Delivered,2025-02-03,35,2298.45,Delivered,1,W01,Warehouse 01,Germany,20207,12,T12,Carrier 12,Premium,false,false,8
15413,D0015413,15413,O0015413,2025-11-19,2025-11-22,45.48,Delivered,2025-11-10,17,527.17,Delivered,12,W12,Warehouse 12,Netherlands,25674,14,T14,Carrier 14,Premium,false,false,3
15414,D0015414,15414,O0015414,2025-08-27,2025-08-29,82.13,Delivered,2025-08-19,45,1434.6,Delivered,8,W08,Warehouse 08,Italy,18100,11,T11,Carrier 11,Standard,false,false,2
15415,D0015415,15415,O0015415,2025-01-06,2025-01-15,87.66,Delivered,2025-01-02,46,935.64,Delivered,6,W06,Warehouse 06,Italy,23070,11,T11,Carrier 11,Standard,false,false,9
15416,D0015416,15416,O0015416,2025-01-14,2025-01-09,127.1,Delivered,2025-01-05,25,1553.5,Delivered,7,W07,Warehouse 07,Netherlands,10019,1,T01,Carrier 01,Premium,false,false,-5
15417,D0015417,15417,O0015417,2025-03-03,2025-03-10,70.67,Delivered,2025-02-28,12,558.72,Delivered,11,W11,Warehouse 11,Germany,5748,10,T10,Carrier 10,Express,false,false,7
15418,D0015418,15418,O0015418,2025-09-09,2025-09-10,27.97,Delivered,2025-08-31,20,175.8,Delivered,10,W10,Warehouse 10,Germany,24023,13,T13,Carrier 13,Standard,false,false,1
15419,D0015419,15419,O0015419,2025-07-16,2025-07-21,58.43,Delivered,2025-07-09,37,984.2,Delivered,3,W03,Warehouse 03,Brazil,15843,14,T14,Carrier 14,Premium,false,false,5
15420,D0015420,15420,O0015420,2025-06-29,2025-06-28,420.4,Delivered,2025-06-26,50,3877.0,Delivered,11,W11,Warehouse 11,Germany,5748,11,T11,Carrier 11,Standard,false,false,-1
15421,D0015421,15421,O0015421,2025-07-28,2025-08-06,71.99,Delivered,2025-07-24,33,739.53,Delivered,5,W05,Warehouse 05,Spain,25643,3,T03,Carrier 03,Standard,false,false,9
15422,D0015422,15422,O0015422,2025-07-10,2025-07-05,38.79,Delivered,2025-06-30,13,197.86,Delivered,3,W03,Warehouse 03,Brazil,15843,5,T05,Carrier 05,Express,false,false,-5
15423,D0015423,15423,O0015423,2025-05-12,2025-05-14,36.35,Delivered,2025-05-06,4,49.08,Delivered,7,W07,Warehouse 07,Netherlands,10019,4,T04,Carrier 04,Express,false,false,2
15424,D0015424,15424,O0015424,2025-01-13,2025-01-11,61.08,Delivered,2025-01-03,13,380.64,Delivered,12,W12,Warehouse 12,Netherlands,25674,5,T05,Carrier 05,Express,false,false,-2
15425,D0015425,15425,O0015425,2025-01-16,2025-01-15,101.67,Delivered,2025-01-11,42,2349.48,Delivered,11,W11,Warehouse 11,Germany,5748,14,T14,Carrier 14,Premium,false,false,-1
15426,D0015426,15426,O0015426,2025-09-16,2025-09-15,142.95,Delivered,2025-09-09,50,1845.5,Delivered,3,W03,Warehouse 03,Brazil,15843,8,T08,Carrier 08,Standard,false,false,-1
15427,D0015427,15427,O0015427,2025-10-05,2025-10-10,34.53,Delivered,2025-09-29,6,69.6,Delivered,9,W09,Warehouse 09,Spain,10336,5,T05,Carrier 05,Express,false,false,5
15428,D0015428,15428,O0015428,2025-04-06,2025-03-30,54.74,In Transit,2025-03-29,22,623.7,In Transit,11,W11,Warehouse 11,Germany,5748,5,T05,Carrier 05,Express,false,false,-7
15429,D0015429,15429,O0015429,2025-04-07,2025-04-06,44.12,Delivered,2025-03-30,29,492.13,Delivered,9,W09,Warehouse 09,Spain,10336,2,T02,Carrier 02,Premium,false,false,-1
15430,D0015430,15430,O0015430,2025-06-08,2025-06-10,41.87,Delivered,2025-05-29,8,240.08,Delivered,11,W11,Warehouse 11,Germany,5748,6,T06,Carrier 06,Standard,false,false,2
15431,D0015431,15431,O0015431,2025-08-29,2025-09-03,44.09,Delivered,2025-08-24,12,160.32,Delivered,3,W03,Warehouse 03,Brazil,15843,11,T11,Carrier 11,Standard,false,false,5
15432,D0015432,15432,O0015432,2025-08-12,2025-08-18,132.38,Delivered,2025-08-05,48,1849.44,Delivered,4,W04,Warehouse 04,France,17137,10,T10,Carrier 10,Express,false,false,6
15433,D0015433,15433,O0015433,2025-07-31,2025-08-01,166.53,In Transit,2025-07-24,49,1309.77,In Transit,4,W04,Warehouse 04,France,17137,7,T07,Carrier 07,Standard,false,false,1
15434,D0015434,15434,O0015434,2025-01-22,2025-01-17,45.31,Delivered,2025-01-14,7,212.45,Delivered,2,W02,Warehouse 02,Spain,27715,9,T09,Carrier 09,Premium,false,false,-5
15435,D0015435,15435,O0015435,2025-06-16,2025-06-20,605.37,Delivered,2025-06-07,46,4971.22,Delivered,5,W05,Warehouse 05,Spain,25643,11,T11,Carrier 11,Standard,false,false,4
15436,D0015436,15436,O0015436,2025-10-06,2025-10-15,75.84,Cancelled,2025-10-02,33,537.9,Cancelled,3,W03,Warehouse 03,Brazil,15843,3,T03,Carrier 03,Standard,false,false,9
15437,D0015437,15437,O0015437,2025-08-07,2025-08-08,61.41,Delivered,2025-08-04,30,743.7,Delivered,9,W09,Warehouse 09,Spain,10336,6,T06,Carrier 06,Standard,false,false,1
15438,D0015438,15438,O0015438,2025-10-26,2025-10-24,100.92,Delivered,2025-10-22,50,856.0,Delivered,8,W08,Warehouse 08,Italy,18100,3,T03,Carrier 03,Standard,false,false,-2
15439,D0015439,15439,O0015439,2025-09-17,2025-09-14,105.03,Delivered,2025-09-11,41,2463.69,Delivered,10,W10,Warehouse 10,Germany,24023,1,T01,Carrier 01,Premium,false,false,-3
15440,D0015440,15440,O0015440,2025-11-28,2025-12-01,52.94,Delivered,2025-11-25,15,595.2,Delivered,6,W06,Warehouse 06,Italy,23070,1,T01,Carrier 01,Premium,false,false,3
15441,D0015441,15441,O0015441,2025-08-07,2025-08-04,175.06,In Transit,2025-07-28,47,1386.97,In Transit,7,W07,Warehouse 07,Netherlands,10019,11,T11,Carrier 11,Standard,false,false,-3
15442,D0015442,15442,O0015442,2025-07-30,2025-08-06,79.49,Delivered,2025-07-27,28,625.8,Delivered,12,W12,Warehouse 12,Netherlands,25674,13,T13,Carrier 13,Standard,false,false,7
15443,D0015443,15443,O0015443,2025-08-01,2025-07-26,30.77,Delivered,2025-07-23,4,84.36,Delivered,7,W07,Warehouse 07,Netherlands,10019,8,T08,Carrier 08,Standard,false,false,-6
15444,D0015444,15444,O0015444,2025-04-14,2025-04-08,495.44,Delivered,2025-04-07,41,4443.17,Delivered,7,W07,Warehouse 07,Netherlands,10019,13,T13,Carrier 13,Standard,false,false,-6
15445,D0015445,15445,O0015445,2025-06-13,2025-06-17,62.06,Delivered,2025-06-09,32,340.48,Delivered,1,W01,Warehouse 01,Germany,20207,15,T15,Carrier 15,Express,false,false,4
15446,D0015446,15446,O0015446,2025-03-06,2025-03-05,33.9,Delivered,2025-03-03,36,132.48,Delivered,2,W02,Warehouse 02,Spain,27715,5,T05,Carrier 05,Express,false,false,-1
15447,D0015447,15447,O0015447,2025-06-12,2025-06-16,82.82,Delivered,2025-06-06,49,570.36,Delivered,10,W10,Warehouse 10,Germany,24023,4,T04,Carrier 04,Express,false,false,4
15448,D0015448,15448,O0015448,2025-02-27,2025-02-27,62.29,In Transit,2025-02-24,15,322.05,In Transit,8,W08,Warehouse 08,Italy,18100,3,T03,Carrier 03,Standard,false,false,0
15449,D0015449,15449,O0015449,2025-07-09,2025-07-05,40.25,Delivered,2025-06-29,23,336.03,Delivered,12,W12,Warehouse 12,Netherlands,25674,11,T11,Carrier 11,Standard,false,false,-4
15450,D0015450,15450,O0015450,2025-12-24,2025-12-28,47.51,Delivered,2025-12-15,6,276.0,Delivered,11,W11,Warehouse 11,Germany,5748,15,T15,Carrier 15,Express,false,false,4
15451,D0015451,15451,O0015451,2025-06-21,2025-06-30,40.05,Delivered,2025-06-15,5,132.0,Delivered,9,W09,Warehouse 09,Spain,10336,3,T03,Carrier 03,Standard,false,false,9
15452,D0015452,15452,O0015452,2025-10-02,2025-10-12,305.36,Delivered,2025-09-27,47,2716.13,Delivered,2,W02,Warehouse 02,Spain,27715,3,T03,Carrier 03,Standard,false,false,10
15453,D0015453,15453,O0015453,2025-06-14,2025-06-17,81.65,In Transit,2025-06-10,42,449.4,In Transit,4,W04,Warehouse 04,France,17137,13,T13,Carrier 13,Standard,false,false,3
15454,D0015454,15454,O0015454,2025-12-06,2025-12-01,173.03,Delivered,2025-11-27,46,1442.56,Delivered,3,W03,Warehouse 03,Brazil,15843,4,T04,Carrier 04,Express,false,false,-5
15455,D0015455,15455,O0015455,2025-03-28,2025-03-21,25.68,In Transit,2025-03-18,12,173.76,In Transit,6,W06,Warehouse 06,Italy,23070,4,T04,Carrier 04,Express,false,false,-7
15456,D0015456,15456,O0015456,2025-11-06,2025-11-03,40.68,Delivered,2025-11-01,28,125.72,Delivered,7,W07,Warehouse 07,Netherlands,10019,3,T03,Carrier 03,Standard,false,false,-3
15457,D0015457,15457,O0015457,2025-09-25,2025-09-24,80.49,Delivered,2025-09-22,33,691.02,Delivered,11,W11,Warehouse 11,Germany,5748,11,T11,Carrier 11,Standard,false,false,-1
15458,D0015458,15458,O0015458,2025-11-29,2025-12-02,170.01,In Transit,2025-11-21,46,1328.02,In Transit,10,W10,Warehouse 10,Germany,24023,11,T11,Carrier 11,Standard,false,false,3
15459,D0015459,15459,O0015459,2025-02-22,2025-03-01,104.84,Delivered,2025-02-18,41,1445.25,Delivered,4,W04,Warehouse 04,France,17137,15,T15,Carrier 15,Express,false,false,7
15460,D0015460,15460,O0015460,2025-11-27,2025-12-08,102.49,Delivered,2025-11-23,35,854.35,Delivered,3,W03,Warehouse 03,Brazil,15843,12,T12,Carrier 12,Premium,false,false,11
15461,D0015461,15461,O0015461,2025-12-08,2025-12-07,47.58,Delivered,2025-11-28,20,331.0,Delivered,6,W06,Warehouse 06,Italy,23070,5,T05,Carrier 05,Express,false,false,-1
15462,D0015462,15462,O0015462,2025-04-29,2025-05-04,64.76,Delivered,2025-04-19,35,643.65,Delivered,12,W12,Warehouse 12,Netherlands,25674,15,T15,Carrier 15,Express,false,false,5
15463,D0015463,15463,O0015463,2025-08-20,2025-08-22,24.16,Delivered,2025-08-17,1,12.38,Delivered,3,W03,Warehouse 03,Brazil,15843,11,T11,Carrier 11,Standard,false,false,2
15464,D0015464,15464,O0015464,2025-08-07,2025-08-11,52.8,In Transit,2025-08-03,40,372.4,In Transit,3,W03,Warehouse 03,Brazil,15843,14,T14,Carrier 14,Premium,false,false,4
15465,D0015465,15465,O0015465,2025-01-25,2025-01-26,122.28,Cancelled,2025-01-18,21,878.43,Cancelled,3,W03,Warehouse 03,Brazil,15843,12,T12,Carrier 12,Premium,false,false,1
15466,D0015466,15466,O0015466,2025-07-16,2025-07-19,65.23,Delivered,2025-07-11,20,384.0,Delivered,1,W01,Warehouse 01,Germany,20207,9,T09,Carrier 09,Premium,false,false,3
15467,D0015467,15467,O0015467,2025-09-08,2025-09-08,67.42,Delivered,2025-08-29,23,557.98,Delivered,1,W01,Warehouse 01,Germany,20207,10,T10,Carrier 10,Express,false,false,0
15468,D0015468,15468,O0015468,2025-03-20,2025-03-28,84.34,Delivered,2025-03-16,33,501.27,Delivered,3,W03,Warehouse 03,Brazil,15843,11,T11,Carrier 11,Standard,false,false,8
15469,D0015469,15469,O0015469,2025-05-20,2025-05-19,40.16,In Transit,2025-05-12,7,235.69,In Transit,5,W05,Warehouse 05,Spain,25643,7,T07,Carrier 07,Standard,false,false,-1
15470,D0015470,15470,O0015470,2025-08-07,2025-08-11,171.09,Delivered,2025-08-02,43,1711.4,Delivered,12,W12,Warehouse 12,Netherlands,25674,3,T03,Carrier 03,Standard,false,false,4
15471,D0015471,15471,O0015471,2025-12-14,2025-12-19,47.07,In Transit,2025-12-06,46,380.42,In Transit,10,W10,Warehouse 10,Germany,24023,11,T11,Carrier 11,Standard,false,false,5
15472,D0015472,15472,O0015472,2025-01-28,2025-02-07,62.82,Delivered,2025-01-23,39,356.46,Delivered,2,W02,Warehouse 02,Spain,27715,13,T13,Carrier 13,Standard,false,false,10
15473,D0015473,15473,O0015473,2025-12-18,2025-12-20,80.85,Delivered,2025-12-08,43,706.49,Delivered,9,W09,Warehouse 09,Spain,10336,6,T06,Carrier 06,Standard,false,false,2
15474,D0015474,15474,O0015474,2025-10-28,2025-11-07,84.06,Delivered,2025-10-25,34,676.94,Delivered,11,W11,Warehouse 11,Germany,5748,13,T13,Carrier 13,Standard,false,false,10
15475,D0015475,15475,O0015475,2025-11-11,2025-11-08,72.41,Delivered,2025-11-05,31,452.29,Delivered,9,W09,Warehouse 09,Spain,10336,12,T12,Carrier 12,Premium,false,false,-3
15476,D0015476,15476,O0015476,2025-01-26,2025-02-02,24.12,Delivered,2025-01-18,25,191.5,Delivered,9,W09,Warehouse 09,Spain,10336,9,T09,Carrier 09,Premium,false,false,7
15477,D0015477,15477,O0015477,2025-07-31,2025-08-05,73.35,Delivered,2025-07-27,13,560.43,Delivered,1,W01,Warehouse 01,Germany,20207,4,T04,Carrier 04,Express,false,false,5
15478,D0015478,15478,O0015478,2025-05-22,2025-05-19,50.88,In Transit,2025-05-15,10,476.3,In Transit,11,W11,Warehouse 11,Germany,5748,2,T02,Carrier 02,Premium,false,false,-3
15479,D0015479,15479,O0015479,2025-12-09,2025-12-11,193.06,Delivered,2025-12-02,40,1516.4,Delivered,5,W05,Warehouse 05,Spain,25643,5,T05,Carrier 05,Express,false,false,2
15480,D0015480,15480,O0015480,2025-10-07,2025-10-05,42.59,In Transit,2025-09-28,17,286.28,In Transit,10,W10,Warehouse 10,Germany,24023,8,T08,Carrier 08,Standard,false,false,-2
15481,D0015481,15481,O0015481,2025-08-30,2025-09-02,123.19,Cancelled,2025-08-26,21,1651.44,Cancelled,6,W06,Warehouse 06,Italy,23070,11,T11,Carrier 11,Standard,false,false,3
15482,D0015482,15482,O0015482,2025-01-16,2025-01-12,44.41,Delivered,2025-01-11,37,397.38,Delivered,4,W04,Warehouse 04,France,17137,7,T07,Carrier 07,Standard,false,false,-4
15483,D0015483,15483,O0015483,2025-11-25,2025-11-28,74.21,Delivered,2025-11-16,43,694.02,Delivered,1,W01,Warehouse 01,Germany,20207,9,T09,Carrier 09,Premium,false,false,3
15484,D0015484,15484,O0015484,2025-07-07,2025-07-03,173.97,Delivered,2025-06-28,42,1542.66,Delivered,3,W03,Warehouse 03,Brazil,15843,12,T12,Carrier 12,Premium,false,false,-4
15485,D0015485,15485,O0015485,2025-03-10,2025-03-01,45.23,In Transit,2025-02-28,25,309.5,In Transit,8,W08,Warehouse 08,Italy,18100,15,T15,Carrier 15,Express,false,false,-9
15486,D0015486,15486,O0015486,2025-11-24,2025-11-17,48.97,Delivered,2025-11-16,14,282.66,Delivered,2,W02,Warehouse 02,Spain,27715,15,T15,Carrier 15,Express,false,false,-7
15487,D0015487,15487,O0015487,2025-12-02,2025-12-11,174.74,In Transit,2025-11-27,48,2136.0,In Transit,4,W04,Warehouse 04,France,17137,3,T03,Carrier 03,Standard,false,false,9
15488,D0015488,15488,O0015488,2025-07-08,2025-07-10,242.48,Delivered,2025-07-01,29,2242.86,Delivered,6,W06,Warehouse 06,Italy,23070,13,T13,Carrier 13,Standard,false,false,2
15489,D0015489,15489,O0015489,2025-09-02,2025-09-03,100.52,Delivered,2025-08-30,25,1535.5,Delivered,7,W07,Warehouse 07,Netherlands,10019,2,T02,Carrier 02,Premium,false,false,1
15490,D0015490,15490,O0015490,2025-08-17,2025-08-22,38.72,Delivered,2025-08-11,27,295.92,Delivered,6,W06,Warehouse 06,Italy,23070,7,T07,Carrier 07,Standard,false,false,5
15491,D0015491,15491,O0015491,2025-04-30,2025-05-06,66.67,Delivered,2025-04-21,16,541.92,Delivered,1,W01,Warehouse 01,Germany,20207,7,T07,Carrier 07,Standard,false,false,6
15492,D0015492,15492,O0015492,2025-10-06,2025-10-05,28.44,Delivered,2025-10-01,2,47.74,Delivered,1,W01,Warehouse 01,Germany,20207,12,T12,Carrier 12,Premium,false,false,-1
15493,D0015493,15493,O0015493,2026-01-09,2026-01-08,82.63,Delivered,2025-12-31,20,611.6,Delivered,8,W08,Warehouse 08,Italy,18100,13,T13,Carrier 13,Standard,false,false,-1
15494,D0015494,15494,O0015494,2025-12-16,2025-12-22,227.78,In Transit,2025-12-07,49,1728.72,In Transit,8,W08,Warehouse 08,Italy,18100,12,T12,Carrier 12,Premium,false,false,6
15495,D0015495,15495,O0015495,2025-09-12,2025-09-13,137.33,Delivered,2025-09-08,31,1138.32,Delivered,7,W07,Warehouse 07,Netherlands,10019,2,T02,Carrier 02,Premium,false,false,1
15496,D0015496,15496,O0015496,2025-05-21,2025-05-25,55.97,Delivered,2025-05-12,17,509.83,Delivered,7,W07,Warehouse 07,Netherlands,10019,15,T15,Carrier 15,Express,false,false,4
15497,D0015497,15497,O0015497,2025-12-08,2025-12-01,57.71,In Transit,2025-11-28,45,828.45,In Transit,11,W11,Warehouse 11,Germany,5748,9,T09,Carrier 09,Premium,false,false,-7
15498,D0015498,15498,O0015498,2025-12-11,2025-12-09,73.1,Delivered,2025-12-05,31,544.36,Delivered,1,W01,Warehouse 01,Germany,20207,2,T02,Carrier 02,Premium,false,false,-2
